index,OrderID,Order Date,Ship Date,Ship Mode,Customer ID,Product ID,Sales,Quantity,Discount,Profit
0,CA-2016-152156,1.47856E+12,1478822400000.00,Second Class,CG-12520,FUR-BO-10001798,261.96,2,0,41.9136
1,CA-2016-152156,1.47856E+12,1478822400000.00,Second Class,CG-12520,FUR-CH-10000454,731.94,3,0,219.582
2,CA-2016-138688,1.46569E+12,1466035200000.00,Second Class,DV-13045,OFF-LA-10000240,14.62,2,0,6.8714
3,US-2015-108966,1.44452E+12,1445126400000.00,Standard Class,SO-20335,FUR-TA-10000577,957.5775,5,0.45,-383.031
4,US-2015-108966,1.44452E+12,1445126400000.00,Standard Class,SO-20335,OFF-ST-10000760,22.368,2,0.2,2.5164
5,CA-2014-115812,1.40227E+12,1402704000000.00,Standard Class,BH-11710,FUR-FU-10001487,48.86,7,0,14.1694
6,CA-2014-115812,1.40227E+12,1402704000000.00,Standard Class,BH-11710,OFF-AR-10002833,7.28,4,0,1.9656
7,CA-2014-115812,1.40227E+12,1402704000000.00,Standard Class,BH-11710,TEC-PH-10002275,907.152,6,0.2,90.7152
8,CA-2014-115812,1.40227E+12,1402704000000.00,Standard Class,BH-11710,OFF-BI-10003910,18.504,3,0.2,5.7825
9,CA-2014-115812,1.40227E+12,1402704000000.00,Standard Class,BH-11710,OFF-AP-10002892,114.9,5,0,34.47
10,CA-2014-115812,1.40227E+12,1402704000000.00,Standard Class,BH-11710,FUR-TA-10001539,1706.184,9,0.2,85.3092
11,CA-2014-115812,1.40227E+12,1402704000000.00,Standard Class,BH-11710,TEC-PH-10002033,911.424,4,0.2,68.3568
12,CA-2017-114412,1.49221E+12,1492646400000.00,Standard Class,AA-10480,OFF-PA-10002365,15.552,3,0.2,5.4432
13,CA-2016-161389,1.4809E+12,1481328000000.00,Standard Class,IM-15070,OFF-BI-10003656,407.976,3,0.2,132.5922
14,US-2015-118983,1.44815E+12,1448496000000.00,Standard Class,HP-14815,OFF-AP-10002311,68.81,5,0.8,-123.858
15,US-2015-118983,1.44815E+12,1448496000000.00,Standard Class,HP-14815,OFF-BI-10000756,2.544,3,0.8,-3.816
16,CA-2014-105893,1.41566E+12,1416268800000.00,Standard Class,PK-19075,OFF-ST-10004186,665.88,6,0,13.3176
17,CA-2014-167164,1.39994E+12,1400112000000.00,Second Class,AG-10270,OFF-ST-10000107,55.5,2,0,9.99
18,CA-2014-143336,1.4091E+12,1409529600000.00,Second Class,ZD-21925,OFF-AR-10003056,8.56,2,0,2.4824
